Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Account
06-01-2022,VHYL,MANUAL,GBP,48.03,3,buy,0,Vanguard Giuseppe
14-04-2022,VGSGSAG,MANUAL,GBP,347.12,0.43,buy,0,Vanguard Giuseppe
08-07-2022,VUSA,MANUAL,GBP,60.60,6,buy,0,Vanguard Giuseppe
29-07-2022,VGSGSAG,MANUAL,GBP,345.61,0.17,buy,0,Vanguard Giuseppe
22-08-2022,VGSGSAG,MANUAL,GBP,354.99,0.03,buy,0,Vanguard Giuseppe
22-08-2022,VEUR,MANUAL,GBP,28.74,17,buy,0,Vanguard Giuseppe
31-08-2022,VGSGSAG,MANUAL,GBP,344.90,0.12,buy,0,Vanguard Giuseppe
01-09-2022,VUSA,MANUAL,GBP,65.62,23,buy,0,Vanguard Giuseppe
01-09-2022,VEUR,MANUAL,GBP,28.19,35,buy,0,Vanguard Giuseppe
01-09-2022,VHYL,MANUAL,GBP,48.99,20,buy,0,Vanguard Giuseppe
02-09-2022,VAEIAGA,MANUAL,GBP,126.13,0.48,buy,0,Vanguard Giuseppe
05-09-2022,VEUR,MANUAL,GBP,27.38,14,buy,0,Vanguard Giuseppe
05-09-2022,VHYL,MANUAL,GBP,48.05,8,buy,0,Vanguard Giuseppe
05-09-2022,VUSA,MANUAL,GBP,64.36,12,buy,0,Vanguard Giuseppe
29-09-2022,VGSGSAG,MANUAL,GBP,331.67,0.21,buy,0,Vanguard Giuseppe
29-09-2022,VUSA,MANUAL,GBP,64.69,30,buy,0,Vanguard Giuseppe
29-09-2022,VHYL,MANUAL,GBP,47.73,24,buy,0,Vanguard Giuseppe
29-09-2022,VEUR,MANUAL,GBP,26.85,37,buy,0,Vanguard Giuseppe
17-10-2022,VUSA,MANUAL,GBP,61.29,4,buy,0,Vanguard Giuseppe
28-10-2022,VGSGSAG,MANUAL,GBP,334.13,0.74,buy,0,Vanguard Giuseppe
31-10-2022,VGSGSAG,MANUAL,GBP,334.73,0.42,buy,0,Vanguard Giuseppe
31-10-2022,VUSA,MANUAL,GBP,62.81,15,buy,0,Vanguard Giuseppe
31-10-2022,VHYL,MANUAL,GBP,47.24,63,buy,0,Vanguard Giuseppe
31-10-2022,VEUR,MANUAL,GBP,27.43,109,buy,0,Vanguard Giuseppe
31-10-2022,VUSA,MANUAL,GBP,62.81,47,buy,0,Vanguard Giuseppe
17-01-2023,VGSGSAG,MANUAL,GBP,337.53,0.13,buy,0,Vanguard Giuseppe
17-01-2023,VUSA,MANUAL,GBP,61.74,2,buy,0,Vanguard Giuseppe
15-02-2023,VEUR,MANUAL,GBP,31.45,3,buy,0,Vanguard Giuseppe
12-05-2023,VGSGSAG,MANUAL,GBP,344.99,2.21,buy,0,Vanguard Giuseppe
15-05-2023,VGSGSAG,MANUAL,GBP,345.41,0.27,buy,0,Vanguard Giuseppe
15-05-2023,VEUR,MANUAL,GBP,31.58,94,buy,0,Vanguard Giuseppe
15-05-2023,VHYL,MANUAL,GBP,47.49,63,buy,0,Vanguard Giuseppe
15-05-2023,VUSA,MANUAL,GBP,62.57,95,buy,0,Vanguard Giuseppe
31-05-2023,VGSGSAG,MANUAL,GBP,348.94,0.18,buy,0,Vanguard Giuseppe
01-06-2023,VGSGSAG,MANUAL,GBP,349.25,0.14,buy,0,Vanguard Giuseppe
01-06-2023,VUSA,MANUAL,GBP,64.60,9,buy,0,Vanguard Giuseppe
01-06-2023,VEUR,MANUAL,GBP,31.18,16,buy,0,Vanguard Giuseppe
01-06-2023,VHYL,MANUAL,GBP,47.12,10,buy,0,Vanguard Giuseppe
28-06-2023,VGSGSAG,MANUAL,GBP,357.70,0.13,buy,0,Vanguard Giuseppe
29-06-2023,VHYL,MANUAL,GBP,46.27,18,buy,0,Vanguard Giuseppe
29-06-2023,VEUR,MANUAL,GBP,29.97,33,buy,0,Vanguard Giuseppe
19-07-2023,VHYL,MANUAL,GBP,46.27,15,buy,0,Vanguard Giuseppe
31-07-2023,VGSGSAG,MANUAL,GBP,368.01,0.23,buy,0,Vanguard Giuseppe
31-07-2023,VUSA,MANUAL,GBP,67.05,7,buy,0,Vanguard Giuseppe
31-07-2023,VHYL,MANUAL,GBP,47.99,10,buy,0,Vanguard Giuseppe
31-07-2023,VEUR,MANUAL,GBP,31.18,32,buy,0,Vanguard Giuseppe
31-08-2023,VGSGSAG,MANUAL,GBP,363.90,0.26,buy,0,Vanguard Giuseppe
31-08-2023,VUSA,MANUAL,GBP,66.75,7,buy,0,Vanguard Giuseppe
31-08-2023,VHYL,MANUAL,GBP,47.36,10,buy,0,Vanguard Giuseppe
31-08-2023,VFEM,MANUAL,GBP,43.57,11,buy,0,Vanguard Giuseppe
31-08-2023,VEUR,MANUAL,GBP,30.44,16,buy,0,Vanguard Giuseppe
27-10-2023,VGSGSAG,MANUAL,GBP,345.24,0.04,buy,0,Vanguard Giuseppe
30-10-2023,VHYL,MANUAL,GBP,46.42,9,buy,0,Vanguard Giuseppe
10-01-2024,VHYL,MANUAL,GBP,49.16,7,buy,0,Vanguard Giuseppe
11-01-2024,VGSGSAG,MANUAL,GBP,388.04,0.02,buy,0,Vanguard Giuseppe
10-04-2024,VGSGSAG,MANUAL,GBP,417.93,2.99,buy,0,Vanguard Giuseppe
10-04-2024,VFEM,MANUAL,GBP,45.75,65,buy,0,Vanguard Giuseppe
10-04-2024,VHYL,MANUAL,GBP,52.12,76,buy,0,Vanguard Giuseppe
10-04-2024,VEUR,MANUAL,GBP,33.86,147,buy,0,Vanguard Giuseppe
10-04-2024,VUSA,MANUAL,GBP,78.22,92,buy,0,Vanguard Giuseppe
02-08-2024,VGSGSAG,MANUAL,GBP,421.50,0.18,buy,0,Vanguard Giuseppe
02-08-2024,VHYL,MANUAL,GBP,52.96,10,buy,0,Vanguard Giuseppe
02-08-2024,VFEM,MANUAL,GBP,46.89,10,buy,0,Vanguard Giuseppe
18-10-2024,VGSGSAG,MANUAL,GBP,450.69,0.15,buy,0,Vanguard Giuseppe
21-10-2024,VUSA,MANUAL,GBP,85.69,2,buy,0,Vanguard Giuseppe
21-10-2024,VEUR,MANUAL,GBP,33.78,8,buy,0,Vanguard Giuseppe
04-02-2025,VUSA,MANUAL,GBP,93.16,5,buy,0,Vanguard Giuseppe
10-04-2025,VUSA,MANUAL,GBP,77.33,6,buy,0,Vanguard Giuseppe
11-04-2025,VGSGSAG,MANUAL,GBP,414.44,0.14,buy,0,Vanguard Giuseppe
29-07-2025,VGSGSAG,MANUAL,GBP,483.96,0.11,buy,0,Vanguard Giuseppe
30-07-2025,VEUR,MANUAL,GBP,37.19,54,buy,0,Vanguard Giuseppe
30-07-2025,VHYL,MANUAL,GBP,56.58,17,buy,0,Vanguard Giuseppe
05-08-2025,VGSGSAG,MANUAL,GBP,481.02,0.19,buy,0,Vanguard Giuseppe
05-08-2025,VEUR,MANUAL,GBP,35.95,21,buy,0,Vanguard Giuseppe
05-08-2025,VUSA,MANUAL,GBP,89.49,11,buy,0,Vanguard Giuseppe
05-08-2025,VHYL,MANUAL,GBP,55.64,17,buy,0,Vanguard Giuseppe
28-08-2025,VGSGSAG,MANUAL,GBP,490.72,0.39,buy,0,Vanguard Giuseppe
29-08-2025,VFEM,MANUAL,GBP,52.44,5,buy,0,Vanguard Giuseppe
29-08-2025,VEUR,MANUAL,GBP,37.02,27,buy,0,Vanguard Giuseppe
29-08-2025,VUSA,MANUAL,GBP,91.28,10,buy,0,Vanguard Giuseppe
29-08-2025,VHYL,MANUAL,GBP,57.31,34,buy,0,Vanguard Giuseppe
02-09-2025,VHYL,MANUAL,GBP,57.43,65,buy,0,Vanguard Giuseppe
01-10-2025,VGSGSAG,MANUAL,GBP,506.05,0.21,buy,0,Vanguard Giuseppe
01-10-2025,VHYL,MANUAL,GBP,58.12,19,buy,0,Vanguard Giuseppe
01-10-2025,VUSA,MANUAL,GBP,94.12,10,buy,0,Vanguard Giuseppe
01-10-2025,VEUR,MANUAL,GBP,37.51,26,buy,0,Vanguard Giuseppe
02-10-2025,VGSGSAG,MANUAL,GBP,510.37,0.19,buy,0,Vanguard Giuseppe
03-10-2025,VHYL,MANUAL,GBP,58.08,32,buy,0,Vanguard Giuseppe
03-10-2025,VEUR,MANUAL,GBP,37.77,26,buy,0,Vanguard Giuseppe
03-10-2025,VUSA,MANUAL,GBP,93.54,10,buy,0,Vanguard Giuseppe
07-10-2025,VFEM,MANUAL,GBP,55.94,7,buy,0,Vanguard Giuseppe
24-10-2025,VGSGSAG,MANUAL,GBP,520.30,0.18,buy,0,Vanguard Giuseppe
27-10-2025,VUSA,MANUAL,GBP,95.18,4,buy,0,Vanguard Giuseppe
14-01-2026,VHYL,MANUAL,GBP,62.19,9,buy,0,Vanguard Giuseppe
15-01-2026,VGSGSAG,MANUAL,GBP,534.07,0.05,buy,0,Vanguard Giuseppe
