Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Account
30-10-2023,VGSGSAG,MANUAL,GBP,348.19,0.07,buy,0,Ylenia Vanguard
30-10-2023,VEUR,MANUAL,GBP,29.16,9,buy,0,Ylenia Vanguard
10-01-2024,VGSGSAG,MANUAL,GBP,387.65,0.08,buy,0,Ylenia Vanguard
10-01-2024,VEUR,MANUAL,GBP,31.72,6,buy,0,Ylenia Vanguard
10-04-2024,VGSGSAG,MANUAL,GBP,417.93,2.58,buy,0,Ylenia Vanguard
10-04-2024,VFEM,MANUAL,GBP,45.75,109,buy,0,Ylenia Vanguard
10-04-2024,VEUR,MANUAL,GBP,33.86,206,buy,0,Ylenia Vanguard
10-04-2024,VUSA,MANUAL,GBP,78.22,92,buy,0,Ylenia Vanguard
02-08-2024,VGSGSAG,MANUAL,GBP,421.50,0.10,buy,0,Ylenia Vanguard
02-08-2024,VFEM,MANUAL,GBP,46.83,17,buy,0,Ylenia Vanguard
18-10-2024,VGSGSAG,MANUAL,GBP,450.69,0.08,buy,0,Ylenia Vanguard
21-10-2024,VUSA,MANUAL,GBP,85.69,2,buy,0,Ylenia Vanguard
21-10-2024,VEUR,MANUAL,GBP,33.78,5,buy,0,Ylenia Vanguard
04-02-2025,VGSGSAG,MANUAL,GBP,482.61,0.06,buy,0,Ylenia Vanguard
04-02-2025,VUSA,MANUAL,GBP,93.16,3,buy,0,Ylenia Vanguard
10-04-2025,VUSA,MANUAL,GBP,77.33,4,buy,0,Ylenia Vanguard
11-04-2025,VGSGSAG,MANUAL,GBP,414.44,0.14,buy,0,Ylenia Vanguard
30-04-2025,VGSGSAG,MANUAL,GBP,427.30,0.11,buy,0,Ylenia Vanguard
30-04-2025,VEUR,MANUAL,GBP,34.70,57,buy,0,Ylenia Vanguard
30-04-2025,VUSA,MANUAL,GBP,78.53,29,buy,0,Ylenia Vanguard
02-05-2025,VGSGSAG,MANUAL,GBP,436.76,0.18,buy,0,Ylenia Vanguard
06-05-2025,VEUR,MANUAL,GBP,35.19,38,buy,0,Ylenia Vanguard
06-05-2025,VUSA,MANUAL,GBP,80.12,24,buy,0,Ylenia Vanguard
28-05-2025,VGSGSAG,MANUAL,GBP,447.56,0.28,buy,0,Ylenia Vanguard
29-05-2025,VUSA,MANUAL,GBP,82.62,16,buy,0,Ylenia Vanguard
29-05-2025,VEUR,MANUAL,GBP,36.48,38,buy,0,Ylenia Vanguard
29-05-2025,VFEM,MANUAL,GBP,48.61,24,buy,0,Ylenia Vanguard
03-06-2025,VGSGSAG,MANUAL,GBP,451.13,0.05,buy,0,Ylenia Vanguard
04-06-2025,VEUR,MANUAL,GBP,36.28,40,buy,0,Ylenia Vanguard
04-06-2025,VUSA,MANUAL,GBP,82.56,18,buy,0,Ylenia Vanguard
30-06-2025,VGSGSAG,MANUAL,GBP,462.38,0.04,buy,0,Ylenia Vanguard
01-07-2025,VFEM,MANUAL,GBP,49.27,32,buy,0,Ylenia Vanguard
01-07-2025,VEUR,MANUAL,GBP,35.66,56,buy,0,Ylenia Vanguard
02-07-2025,VGSGSAG,MANUAL,GBP,467.39,0.17,buy,0,Ylenia Vanguard
03-07-2025,VUSA,MANUAL,GBP,85.22,9,buy,0,Ylenia Vanguard
03-07-2025,VEUR,MANUAL,GBP,35.77,27,buy,0,Ylenia Vanguard
01-08-2025,VGSGSAG,MANUAL,GBP,476.50,0.22,buy,0,Ylenia Vanguard
07-10-2025,VUSA,MANUAL,GBP,92.20,5,buy,0,Ylenia Vanguard
04-08-2025,VEUR,MANUAL,GBP,36.65,13,buy,0,Ylenia Vanguard
04-08-2025,VFEM,MANUAL,GBP,55.94,5,buy,0,Ylenia Vanguard
24-10-2025,VGSGSAG,MANUAL,GBP,520.30,0.15,buy,0,Ylenia Vanguard
27-10-2025,VUSA,MANUAL,GBP,95.17,1,buy,0,Ylenia Vanguard
14-01-2026,VUSA,MANUAL,GBP,97.67,4,buy,0,Ylenia Vanguard
15-01-2026,VGSGSAG,MANUAL,GBP,534.07,0.05,buy,0,Ylenia Vanguard
